Client_ID,Age,Sexe,Revenu_Annuel,Fréquence_Achat,Montant_Total_Dépensé,Type_Produit_Principal,Durée_Client,Visites_Mensuelles,Panier_Moyen,Reduction_Utilisee,Satisfaction_Client
1,56,Homme,102421.0,23,9260.71,Alimentation,7,19,433.19,Non,6.0
2,69,Femme,112244.0,21,2408.75,Vêtements,12,2,222.39,Non,4.0
3,46,Femme,85584.0,21,13491.06,Sport,6,12,182.76,Non,3.0
4,32,Homme,39950.0,11,8705.7,Maison,13,12,309.69,Oui,1.0
5,60,Homme,35173.0,7,16353.67,Electronique,11,8,125.31,Non,6.0
6,25,Femme,137743.0,9,4006.12,Sport,5,12,130.35,Oui,7.0
7,38,Femme,78032.0,4,4180.6,Sport,11,11,269.74,Non,1.0
8,56,Femme,135074.0,25,12950.62,Maison,4,2,216.45,Non,1.0
9,36,Femme,119273.0,13,16935.47,Sport,12,1,161.59,Oui,7.0
10,40,Femme,48036.0,27,9496.74,Sport,13,4,45.9,Non,6.0
11,28,Femme,143885.0,26,14566.38,Vêtements,14,9,269.97,Oui,7.0
12,28,Femme,132857.0,25,19986.67,Beauté,8,7,411.97,Non,8.0
13,41,Homme,91356.0,29,19806.29,Vêtements,7,10,428.66,Oui,8.0
14,53,Femme,34292.0,4,14912.3,Maison,11,14,133.01,Non,9.0
15,57,Femme,23052.0,19,148177.7,Alimentation,11,1,307.83,Oui,9.0
16,41,Homme,64377.0,2,5027.62,Maison,10,5,430.82,Non,7.0
17,20,Femme,109317.0,9,16687.44,Maison,1,13,216.19,Oui,9.0
18,39,Femme,87838.0,12,8161.53,Maison,6,6,467.43,Non,6.0
19,19,Homme,87819.0,2,19243.68,Maison,14,17,453.43,Non,9.0
20,41,Femme,133689.0,6,1720.41,Sport,2,15,119.9,Non,2.0
21,61,Homme,128103.0,5,8773.22,Maison,4,7,144.3,Non,2.0
22,47,Homme,35620.0,5,11161.23,Alimentation,5,8,106.61,Non,6.0
23,55,Homme,50461.0,20,8162.61,Maison,8,2,114.11,Non,3.0
24,19,Homme,40750.0,22,4290.53,Vêtements,6,18,455.77,Oui,2.0
25,38,Femme,118426.0,5,11900.47,Sport,11,7,466.95,Oui,8.0
26,50,Homme,108719.0,27,15142.77,Vêtements,2,16,44.91,Oui,7.0
27,29,Homme,,4,12932.29,Sport,5,19,304.93,Oui,8.0
28,39,Femme,89263.0,29,4765.53,Vêtements,5,9,290.83,Oui,6.0
29,61,Homme,132036.0,9,14659.0,Electronique,6,12,207.46,Oui,9.0
30,42,Homme,77602.0,29,5212.27,Beauté,1,14,323.21,Non,9.0
31,66,Homme,45523.0,22,3586.53,Beauté,8,7,474.74,Non,2.0
32,44,Homme,50766.0,27,13844.29,Sport,3,2,101.72,Non,10.0
33,59,Femme,123262.0,10,16871.47,Electronique,5,17,77.8,Oui,5.0
34,45,Homme,86060.0,16,9682.64,Alimentation,7,11,36.03,Non,9.0
35,33,Femme,29079.0,10,106747.0,Electronique,3,18,194.64,Oui,3.0
36,32,Femme,28399.0,29,61246.8,Sport,14,12,182.06,Oui,5.0
37,64,Homme,80726.0,10,9942.9,Electronique,10,3,226.79,Oui,8.0
38,68,Homme,112906.0,29,2726.46,Alimentation,13,14,261.59,Non,2.0
39,61,Homme,36532.0,19,19121.03,Sport,6,15,383.76,Non,6.0
40,69,Homme,142689.0,10,16027.18,Beauté,5,19,208.21,Oui,4.0
41,20,Femme,102357.0,6,13392.66,Maison,7,10,178.69,Non,6.0
42,54,Femme,63162.0,17,10810.07,Electronique,10,9,416.9,Non,3.0
43,68,Femme,23749.0,5,158641.7,Beauté,11,10,427.9,Oui,6.0
44,24,Homme,31353.0,26,9945.67,Beauté,3,4,131.73,Non,7.0
45,38,Femme,132313.0,6,6069.48,Vêtements,13,19,171.04,Non,10.0
46,26,Homme,48477.0,27,3291.45,Alimentation,14,10,416.06,Oui,3.0
47,56,Homme,44570.0,24,12986.95,Maison,2,17,58.12,Oui,5.0
48,35,Homme,106373.0,27,18595.57,Electronique,4,12,176.41,Non,8.0
49,21,Homme,31437.0,15,3157.01,Beauté,3,1,235.21,Non,2.0
50,42,Homme,58104.0,25,3682.36,Beauté,4,11,109.79,Non,7.0
51,31,Femme,83370.0,27,8728.76,Alimentation,7,13,106.36,Oui,1.0
52,67,Femme,24551.0,19,161573.0,Maison,5,1,223.93,Oui,7.0
53,26,Homme,88359.0,18,5949.06,Maison,4,1,382.17,Oui,1.0
54,43,Femme,74880.0,29,5152.87,Beauté,14,16,423.31,Non,4.0
55,19,Homme,32916.0,4,12437.33,Beauté,6,7,490.03,Non,4.0
56,37,Homme,146150.0,8,10758.73,Beauté,7,10,55.51,Oui,5.0
57,45,Homme,100703.0,27,1298.39,Beauté,12,16,124.01,Oui,
58,64,Femme,61445.0,16,1721.65,Vêtements,14,1,383.18,Oui,6.0
59,24,Homme,67636.0,24,12895.96,Vêtements,11,9,279.49,Non,6.0
60,61,Homme,93927.0,19,9355.96,Maison,5,6,177.29,Non,8.0
61,25,Femme,98194.0,20,19422.45,Sport,12,15,118.68,Non,10.0
62,64,Femme,49685.0,3,13602.78,Electronique,7,4,154.63,Non,1.0
63,52,Femme,71134.0,10,300.47,Alimentation,3,15,226.06,Oui,4.0
64,31,Homme,108916.0,2,9672.27,Sport,7,10,105.03,Non,2.0
65,34,Homme,127967.0,4,8347.51,Vêtements,12,16,482.83,Non,8.0
66,53,Femme,114455.0,6,2223.61,Vêtements,3,13,71.64,Oui,4.0
67,67,Homme,147763.0,11,18471.86,Vêtements,14,19,493.08,Oui,8.0
68,57,Femme,87847.0,14,16119.72,Sport,6,4,424.11,Oui,2.0
265,21,Femme,59993.0,16,4678.71,Vêtements,8,16,223.11,Non,4.0
70,19,Homme,64333.0,27,5194.02,Sport,13,11,375.11,Oui,9.0
71,23,Homme,128574.0,21,737.16,Vêtements,6,15,342.33,Non,5.0
72,59,Femme,,19,6004.68,Beauté,10,11,122.38,Oui,6.0
73,21,Femme,99096.0,2,11733.98,Beauté,11,11,182.75,Non,10.0
74,46,Femme,69756.0,25,8474.78,Electronique,3,3,266.3,Non,9.0
75,35,Femme,142863.0,17,19388.18,Vêtements,12,17,326.17,Oui,9.0
76,43,Homme,81192.0,9,1216.0,Electronique,5,5,280.59,Oui,7.0
77,61,Femme,80686.0,17,11869.46,Sport,9,13,247.03,Non,2.0
78,51,Femme,,15,17180.36,Electronique,8,10,232.71,Oui,7.0
79,27,Femme,124089.0,7,9666.74,Vêtements,6,5,259.17,Non,9.0
80,53,Homme,45993.0,22,158.96,Sport,9,12,228.49,Oui,2.0
81,31,Homme,50492.0,23,4931.75,Sport,2,8,279.84,Non,7.0
82,48,Femme,40981.0,19,6543.0,Beauté,13,12,446.23,Non,7.0
83,65,Homme,44143.0,3,19323.29,Sport,11,16,323.76,Oui,3.0
84,32,Homme,97603.0,29,18244.29,Sport,9,2,366.86,Non,6.0
85,25,Homme,109452.0,27,18988.49,Electronique,10,3,306.79,Non,8.0
86,31,Femme,80277.0,1,16532.59,Maison,13,18,328.65,Non,10.0
87,40,Femme,127044.0,4,7097.79,Sport,10,17,297.61,Non,8.0
88,57,Homme,131957.0,28,18126.94,Alimentation,6,2,32.9,Oui,3.0
89,38,Femme,69990.0,18,19635.52,Maison,9,12,499.81,Non,6.0
90,33,Femme,148406.0,26,7066.42,Beauté,12,17,36.13,Non,2.0
91,62,Homme,82888.0,8,5285.06,Beauté,4,6,209.67,Oui,2.0
92,35,Homme,89351.0,19,10983.63,Sport,5,17,70.46,Oui,8.0
93,64,Femme,117372.0,23,3824.33,Electronique,2,2,66.53,Non,10.0
94,41,Homme,69999.0,23,749.22,Maison,3,8,400.89,Non,5.0
95,43,Femme,123013.0,28,18922.04,Beauté,1,14,224.44,Non,5.0
96,42,Femme,122811.0,25,18522.24,Beauté,4,6,404.55,Oui,4.0
97,62,Homme,124879.0,6,3336.81,Alimentation,12,9,150.94,Non,10.0
98,58,Femme,90309.0,1,8214.03,Sport,2,1,143.1,Non,4.0
99,46,Femme,32446.0,8,16637.62,Maison,12,5,140.59,Oui,8.0
100,32,Homme,50733.0,1,13253.91,Beauté,2,7,315.75,Non,3.0
101,62,Homme,139156.0,19,7956.27,Beauté,1,9,411.2,Oui,3.0
102,18,Homme,96000.0,11,14909.0,Beauté,10,14,237.09,Non,8.0
103,42,Femme,68632.0,21,17951.24,Beauté,12,9,202.04,Oui,3.0
104,24,Homme,41576.0,24,18530.55,Electronique,2,4,487.32,Non,2.0
105,26,Homme,23320.0,25,76391.09999999999,Vêtements,4,15,76.04,Non,5.0
106,41,Homme,,15,3553.86,Alimentation,6,4,253.58,Oui,3.0
107,18,Homme,123002.0,23,18265.49,Electronique,13,3,216.07,Oui,6.0
108,61,Femme,73463.0,25,1941.85,Alimentation,12,14,67.1,Non,7.0
109,25,Femme,46572.0,11,14461.6,Beauté,7,9,148.74,Oui,3.0
110,41,Homme,138361.0,19,2895.9,Alimentation,7,19,33.65,Oui,9.0
111,28,Femme,37948.0,29,7848.8,Sport,7,6,440.94,Oui,10.0
112,68,Homme,146898.0,21,8289.96,Sport,4,3,311.77,Non,1.0
113,34,Homme,136528.0,10,3259.28,Vêtements,12,18,411.21,Non,7.0
114,25,Femme,58826.0,24,18461.36,Vêtements,5,16,270.35,Oui,4.0
115,52,Femme,109051.0,12,153.1,Alimentation,14,3,307.76,Oui,7.0
116,52,Homme,47867.0,1,17886.79,Electronique,11,2,356.41,Oui,9.0
117,50,Homme,80231.0,24,17688.2,Electronique,12,2,455.85,Non,9.0
118,22,Femme,86262.0,7,6407.58,Beauté,3,10,64.04,Oui,1.0
119,59,Homme,111356.0,17,14115.26,Electronique,1,15,178.86,Oui,10.0
120,56,Femme,146340.0,29,5130.9,Vêtements,14,3,360.33,Non,4.0
121,58,Homme,92233.0,29,15199.59,Electronique,8,8,480.01,Oui,7.0
122,45,Homme,64678.0,26,11266.28,Beauté,10,18,490.79,Non,10.0
123,24,Femme,127561.0,28,6074.49,Sport,11,11,326.29,Non,6.0
124,26,Femme,32963.0,10,8064.67,Electronique,7,7,112.93,Oui,9.0
125,25,Femme,84360.0,28,13828.79,Electronique,14,19,77.22,Non,7.0
126,29,Femme,69434.0,6,18131.34,Vêtements,9,7,474.1,Non,3.0
127,51,Femme,86617.0,17,2701.46,Alimentation,14,2,228.29,Non,7.0
128,50,Femme,40269.0,18,11470.14,Sport,10,6,113.51,Non,10.0
129,65,Femme,137569.0,5,5149.21,Alimentation,4,5,468.27,Oui,5.0
130,40,Homme,96312.0,18,16047.31,Beauté,12,14,70.17,Non,2.0
131,41,Homme,117352.0,26,1497.72,Beauté,12,18,370.19,Oui,10.0
132,54,Homme,99732.0,17,13810.22,Alimentation,5,4,320.13,Non,3.0
133,52,Femme,137658.0,22,3581.43,Vêtements,5,4,62.11,Non,6.0
134,61,Femme,127648.0,16,11968.07,Maison,13,13,182.6,Oui,6.0
135,57,Femme,101494.0,8,16730.28,Vêtements,7,1,91.97,Non,7.0
136,39,Homme,108905.0,24,15126.11,Maison,13,5,310.16,Oui,6.0
137,44,Femme,97225.0,13,15083.56,Maison,9,3,249.01,Non,9.0
138,52,Femme,102867.0,29,10405.12,Vêtements,8,19,22.05,Non,5.0
139,18,Homme,57528.0,24,17825.84,Maison,7,13,488.34,Oui,5.0
140,52,Femme,144597.0,16,11803.29,Maison,14,7,187.8,Non,8.0
141,54,Homme,98972.0,11,18358.61,Maison,1,10,143.94,Non,8.0
142,64,Homme,85602.0,6,10975.8,Sport,12,3,126.77,Oui,1.0
143,31,Femme,116261.0,27,10168.71,Beauté,10,2,96.23,Non,3.0
144,20,Femme,110748.0,3,4524.83,Maison,13,7,499.59,Non,6.0
145,18,Femme,143193.0,1,10941.25,Beauté,6,9,161.65,Non,
146,22,Homme,146277.0,18,2897.64,Beauté,10,12,214.65,Non,1.0
147,43,Homme,53332.0,5,17406.84,Sport,9,10,438.25,Non,2.0
148,31,Homme,144481.0,13,13550.25,Beauté,13,19,328.11,Oui,10.0
149,56,Femme,110937.0,10,19873.35,Alimentation,7,13,196.97,Oui,7.0
150,44,Femme,,5,1932.74,Electronique,1,10,451.2,Non,1.0
151,26,Femme,98929.0,26,4889.39,Sport,9,5,379.87,Non,10.0
152,32,Femme,89206.0,14,17555.46,Electronique,3,15,129.39,Non,5.0
153,32,Homme,111137.0,17,7965.56,Alimentation,14,3,328.99,Oui,1.0
154,43,Homme,22251.0,1,93794.3,Vêtements,9,8,462.75,Non,6.0
155,59,Homme,65717.0,25,17226.97,Vêtements,4,6,258.3,Non,7.0
156,30,Homme,119108.0,2,10484.28,Maison,9,19,372.13,Non,8.0
157,68,Femme,47027.0,7,3950.17,Vêtements,13,17,486.13,Non,3.0
158,49,Femme,117382.0,10,17851.4,Sport,8,10,351.4,Oui,3.0
159,56,Femme,106551.0,20,718.13,Vêtements,7,1,69.17,Non,
160,66,Homme,29583.0,7,179183.9,Sport,4,13,137.39,Non,3.0
161,69,Homme,70387.0,24,1105.35,Sport,9,10,305.65,Non,5.0
162,49,Femme,43104.0,16,13350.4,Electronique,4,12,152.27,Non,6.0
163,21,Femme,32224.0,5,1526.42,Vêtements,1,2,479.62,Non,3.0
164,47,Homme,80624.0,29,14153.64,Beauté,6,10,214.57,Non,4.0
165,54,Femme,76058.0,28,776.03,Vêtements,4,1,239.47,Non,5.0
166,40,Homme,124320.0,12,16864.91,Vêtements,10,1,356.77,Oui,5.0
167,56,Homme,116372.0,17,9372.28,Vêtements,3,15,271.64,Non,9.0
168,62,Homme,49299.0,16,1959.73,Maison,12,1,203.43,Oui,8.0
169,32,Femme,98572.0,20,14165.71,Beauté,5,9,56.79,Oui,1.0
170,60,Femme,105469.0,26,9836.87,Beauté,3,7,306.29,Non,2.0
